"Entity ID","Value ID","代表詞","同義詞1","同義詞2","同義詞3","同義詞4","同義詞5"
"A","001","如何","怎麼辦","怎辦","怎麼","怎樣",
"A","002","什麼","何謂","什麼是","是什麼","為何",
"A","003","為什麼","為甚麼",,,,
"A","004","多久",,,,,
"A","005","多大",,,,,
"A","006","何時",,,,,
"A","007","哪裡","到哪",,,,
"A","008","哪些","哪種",,,,
"A","009","幾個",,,,,
"A","010","能不能","行不行",,,,
"A","011","有沒有","有無",,,,
"A","012","是否","是不是",,,,
"A","013","需要","須","需",,,
"A","014","想要","要",,,,
"A","015","多少",,,,,
"A","016","幾種",,,,,
"B","001","調升","調高",,,,
"B","002","繳",,,,,
"B","003","限制",,,,,
"B","004","辦理","申辦","申請","申請單",,
"B","005","知道",,,,,
"B","006","還款",,,,,
"B","007","繳款",,,,,
"B","008","計收",,,,,
"B","009","使用",,,,,
"B","010","判斷",,,,,
"B","011","通過",,,,,
"B","012","負擔",,,,,
"B","013","計算",,,,,
"B","014","差異","不同",,,,
"B","015","看",,,,,
"B","016","處理",,,,,
"B","017","無法使用",,,,,
"B","018","無法連線",,,,,
"B","019","免簽名","不用簽名",,,,
"B","020","簽英文",,,,,
"B","021","補寄",,,,,
"B","022","申請",,,,,
"B","023","變更","更改",,,,
"C","001","預借現金",,,,,
"C","002","一次性預借現金密碼",,,,,
"C","003","密碼",,,,,
"C","004","款項",,,,,
"C","005","額度",,,,,
"C","006","日限額",,,,,
"C","007","金額",,,,,
"C","008","服務",,,,,
"C","009","資格",,,,,
"C","010","分期利率",,,,,
"C","011","帳單分期",,,,,
"C","012","期數",,,,,
"C","013","利息",,,,,
"C","014","單筆分期",,,,,
"C","015","審核",,,,,
"C","016","信福貸",,,,,
"C","017","方式",,,,,
"C","018","提前清償違約金",,,,,
"C","019","約定單筆分期",,,,,
"C","020","單筆分期","筆分期","分期之單筆",,,
"C","021","利息",,,,,
"C","022","長期循環轉換分期",,,,,
"C","023","信貸專案",,,,,
"C","024","信用卡",,,,,
"C","025","約定帳單分期",,,,,
"C","026","申請金額",,,,,
"C","027","消費門檻",,,,,
"C","028","清償違約金",,,,,
"C","029","信用卡權益手冊",,,,,
"C","030","開卡方式",,,,,
"C","031","語音回覆系統",,,,,
"C","032","24小時","24","全天","整天",,
"C","033","開卡",,,,,
"C","034","刷卡",,,,,
"C","035","卡片簽名",,,,,
"C","036","帳單",,,,,
"C","037","電子信用卡帳單",,,,,
"C","038","費用",,,,,
"C","039","電子郵件信箱",,,,,
"C","040","帳單地址",,,,,
"C","041","長期循環轉換方案",,,,,
"D","001","預借現金",,,,,
"D","002","分期靈活金",,,,,
"D","003","帳單分期",,,,,
"D","004","單筆分期","筆分期","分期之單筆",,,
"D","005","信福貸",,,,,
"D","006","提前還款",,,,,
"D","007","約定單筆分期",,,,,
"D","008","餘額不足",,,,,
"D","009","每期最低",,,,,
"D","010","長期循環轉換專案","轉換專案",,,,
"D","011","核卡",,,,,
"D","012","收到卡片",,,,,
"D","013","開卡完成",,,,,
"D","014","語音開卡",,,,,
"D","015","新卡",,,,,
"D","016","沒有收到","未收到",,,,
"D","017","電子帳單",,,,,
"D","018","帳單","實體帳單",,,,
"D","018","信用卡",,,,,
