"Entity ID","Value ID","代表詞","同義詞1","同義詞2","同義詞3","同義詞4","同義詞5"
"A","001","如何","怎麼辦","怎辦","怎麼","怎樣",
"A","002","什麼","何謂","什麼是","是什麼","為何",
"A","003","為什麼","為甚麼",,,,
"A","004","多久",,,,,
"A","005","多大",,,,,
"A","006","何時",,,,,
"A","007","哪裡","到哪",,,,
"A","008","哪些","哪種",,,,
"A","009","幾個",,,,,
"A","010","能不能","行不行",,,,
"A","011","有沒有","有無",,,,
"A","012","是否","是不是",,,,
"A","013","需要","須","需",,,
"A","014","想要","要",,,,
"A","015","多少",,,,,
"A","016","幾種",,,,,
"B","001","調升","調高",,,,
"B","002","繳",,,,,
"B","003","限制",,,,,
"B","004","辦理","申辦","申請","申請單",,
"B","005","知道",,,,,
"B","006","還款",,,,,
"B","007","繳款",,,,,
"B","008","計收",,,,,
"B","009","使用",,,,,
"B","010","判斷",,,,,
"B","011","通過",,,,,
"B","012","負擔",,,,,
"B","013","計算",,,,,
"B","014","差異","不同",,,,
"C","001","預借現金",,,,,
"C","002","一次性預借現金密碼",,,,,
"C","003","密碼",,,,,
"C","004","款項",,,,,
"C","005","額度",,,,,
"C","006","日限額",,,,,
"C","007","金額",,,,,
"C","008","服務",,,,,
"C","009","資格",,,,,
"C","010","分期利率",,,,,
"C","011","帳單分期",,,,,
"C","012","期數",,,,,
"C","013","利息",,,,,
"C","014","單筆分期",,,,,
"C","015","審核",,,,,
"C","016","信福貸",,,,,
"C","017","方式",,,,,
"C","018","提前清償違約金",,,,,
"C","019","約定單筆分期",,,,,
"C","020","單筆分期","筆分期","分期之單筆",,,
"C","021","利息",,,,,
"C","022","長期循環轉換分期",,,,,
"C","023","信貸專案",,,,,
"C","024","信用卡",,,,,
"C","025","約定帳單分期",,,,,
"C","026","申請金額",,,,,
"C","027","消費門檻",,,,,
"C","028","清償違約金",,,,,
"D","001","預借現金",,,,,
"D","002","分期靈活金",,,,,
"D","003","帳單分期",,,,,
"D","004","單筆分期","筆分期","分期之單筆",,,
"D","005","信福貸",,,,,
"D","006","提前還款",,,,,
"D","007","約定單筆分期",,,,,
"D","008","餘額不足",,,,,
"D","009","每期最低",,,,,
"D","010","長期循環轉換專案","轉換專案","長期循環轉換方案",,,
